"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","Number of Patients 1","Footnote 1","Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","Number of Patients 2","Footnote 2","Surgery patients who were given the right kind of antibiotic to help prevent infection","Number of Patients 3","Footnote 3","Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots","Number of Patients 4","Footnote 4","Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","Number of Patients 5","Footnote 5","Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","Number of Patients 6","Footnote 6","The percent of surgery patients whose urinary catheters were removed on the first or second day after surgery","Number of Patients 11","Footnote 11","Surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on them","Number of Patients 8","Footnote 8","Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","Number of Patients 9","Footnote 9","Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","Number of Patients 10","Footnote 10","Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal","Number of Patients 13","Footnote 13"
"521320","TOMAH MEM HSPTL","321 BUTTS AVE","","","TOMAH","WI","54660","MONROE","6083722181","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","16","The number of cases is too small to reliably tell how well a hospital is performing"
"521322","GRANT REG HLTH CTR","507 S MONROE ST","","","LANCASTER","WI","53813","GRANT","6087232143","90","21","The number of cases is too small to reliably tell how well a hospital is performing","95","20","The number of cases is too small to reliably tell how well a hospital is performing","95","21","The number of cases is too small to reliably tell how well a hospital is performing","72","18","The number of cases is too small to reliably tell how well a hospital is performing","62","21","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","75","24","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","96","25",""
"521323","MEMORIAL MEDICAL CTR","216 SUNSET PLACE","","","NEILLSVILLE","WI","54456","CLARK","7157433101","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"521324","MEMORIAL HEALTH CTR","135 S GIBSON ST","","","MEDFORD","WI","54451","TAYLOR","7157488100","91","43","","98","43","","100","43","","100","43","","100","43","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","75","12","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","49",""
"521326","NEW LONDON FAMILY MED CTR","1405 MILL ST PO BOX 307","","","NEW LONDON","WI","54961","OUTAGAMIE","9205312000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"521328","RUSK COUNTY MEM HSPTL","900 COLLEGE AVE WEST","","","LADYSMITH","WI","54848","RUSK","7155325561","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure"
"521329","ST MARYS HSPTL SUPERIOR","3500 TOWER AVE","","","SUPERIOR","WI","54880","DOUGLAS","7153955400","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure"
"521330","PRAIRIE DU CHIEN MEM HSPTL","705 E TAYLOR ST","","","PRAIRIE DU CHIEN","WI","53821","CRAWFORD","6083572000","87","15","The number of cases is too small to reliably tell how well a hospital is performing","100","14","The number of cases is too small to reliably tell how well a hospital is performing","100","15","The number of cases is too small to reliably tell how well a hospital is performing","100","46","","100","46","","Not Available","Not Available","No data are available from the hospital for this measure","100","43","","79","19","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","54",""
"521332","SPOONER HEALTH SYS","819 ASH ST","","","SPOONER","WI","54801","WASHBURN","7156352111","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure"
"521333","BLACK RIVER MEM HSPTL","711 W ADAMS ST","","","BLACK RIVER FALLS","WI","54615","JACKSON","7152845361","100","45","","100","44","","93","45","","100","30","","100","30","","Not Available","Not Available","No data are available from the hospital for this measure","58","12","The number of cases is too small to reliably tell how well a hospital is performing","73","15","The number of cases is too small to reliably tell how well a hospital is performing","100","28","","97","29","","100","47",""
"521334","RIVERSIDE MEDICAL CENTER","800 RIVERSIDE DRIVE","","","WAUPACA","WI","54981","WAUPACA","7152581000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"521335","HUDSON HOSPITAL","405 STAGELINE ROAD","","","HUDSON","WI","54016","SAINT CROIX","7155316000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","19","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","40","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"521337","ST CROIX REG MED CTR","235 STATE STREET","","","SAINT CROIX FALLS","WI","54024","POLK","7154833261","96","74","","97","73","","100","75","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","97","36","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","98","44","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"521339","GOOD SAMARITAN HLTH CTR","601 S CENTER AVE","","","MERRILL","WI","54452","LINCOLN","7155365511","100","33","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","33","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","34","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","30","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","30","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","20","The number of cases is too small to reliably tell how well a hospital is performing","100","14","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","98","63","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"521343","STOUGHTON HOSPITAL","900 RIDGE ST","","","STOUGHTON","WI","53589","DANE","6088736611","100","36","","94","35","","100","36","","98","55","","100","55","","Not Available","Not Available","No data are available from the hospital for this measure","98","43","","87","15","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","60",""
"521344","BOSCOBEL AREA HEALTH CARE","205 PARKER ST","","","BOSCOBEL","WI","53805","GRANT","6083754112","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure"
"521346","SHAWANO MED CTR","309 N BARTLETTE ST","","","SHAWANO","WI","54166","SHAWANO","7155262111","98","44","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","93","44","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","98","44","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","98","51","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","98","51","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","95","22","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","62","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"521348","VERNON MEM HSPTL","507 SOUTH MAIN ST","","","VIROQUA","WI","54665","VERNON","6086372101","97","436","","97","435","","99","440","","100","502","","100","502","","Not Available","Not Available","No data are available from the hospital for this measure","97","157","","98","182","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","532",""
"521349","RIVER FALLS AREA HSPTL","1629 E DIVISION ST","","","RIVER FALLS","WI","54022","PIERCE","7154266155","99","114","","99","110","","100","115","","99","123","","100","123","","Not Available","Not Available","No data are available from the hospital for this measure","95","97","","98","43","","92","12","The number of cases is too small to reliably tell how well a hospital is performing","100","12","The number of cases is too small to reliably tell how well a hospital is performing","100","192",""
"521350","LANGLADE HOSPITAL","112 E FIFTH ST","","","ANTIGO","WI","54409","LANGLADE","7156232331","94","36","","97","35","","94","36","","77","48","","77","48","","Not Available","Not Available","No data are available from the hospital for this measure","81","21","The number of cases is too small to reliably tell how well a hospital is performing","82","11","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","99","75",""
"521351","REEDSBURG AREA MED CTR","2000 N DEWEY AVE","","","REEDSBURG","WI","53959","SAUK","6085246487","100","63","","100","63","","100","63","","98","60","","98","60","","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","24","The number of cases is too small to reliably tell how well a hospital is performing","96","45","","100","44","","100","66",""
"521354","SOUTHWEST HEALTH CENTER INC","1400 EAST SIDE RD","","","PLATTEVILLE","WI","53818","GRANT","6083424701","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","95","41","","95","39","","Not Available","Not Available","No data are available from the hospital for this measure"
"521355","BERLIN MEMORIAL HOSPITAL","225 MEMORIAL DRIVE","","","BERLIN","WI","54923","GREEN LAKE","9203611313","92","134","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","133","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","135","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","152","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","152","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure","100","130","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","30","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","65","","96","67","","100","167","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"521357","MERCY WALWORTH HOSPITAL & MEDICAL CENTER","N2950 STATE ROAD 67","","","LAKE GENEVA","WI","53147","WALWORTH","2622450535","99","152","","96","148","","100","152","","99","165","","100","165","","Not Available","0","","97","134","","98","46","","92","13","The number of cases is too small to reliably tell how well a hospital is performing","100","13","The number of cases is too small to reliably tell how well a hospital is performing","100","185",""
"530002","CAMPBELL COUNTY MEMORIAL HOSPITAL","501 SOUTH BURMA AVENUE","","","GILLETTE","WY","82716","CAMPBELL","3076881551","100","101","","100","101","","99","101","","92","130","","96","130","","Not Available","0","","90","60","","96","26","","99","121","","89","121","","100","139",""
"530006","SHERIDAN MEMORIAL HOSPITAL","1401 W 5TH ST","","","SHERIDAN","WY","82801","SHERIDAN","3076721000","99","227","","97","224","","99","227","","96","250","","99","250","","Not Available","0","","93","165","","94","68","","98","111","","98","110","","100","298",""
"530008","RIVERTON MEMORIAL HOSPITAL","2100 W SUNSET DR","","","RIVERTON","WY","82501","FREMONT","3078564161","98","54","","98","53","","96","54","","98","56","","100","56","","Not Available","0","","79","28","","96","23","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","99","99",""
"530010","LANDER REGIONAL HOSPITAL","1320 BISHOP RANDALL DR","","","LANDER","WY","82520","FREMONT","3073324420","97","93","","100","92","","99","94","","97","79","","97","79","","Not Available","0","","64","11","The number of cases is too small to reliably tell how well a hospital is performing","95","19","The number of cases is too small to reliably tell how well a hospital is performing","75","36","","90","30","","98","121",""
"530011","MEMORIAL HOSPITAL SWEETWATER COUNTY","1200 COLLEGE DRIVE","","","ROCK SPRINGS","WY","82901","SWEETWATER","3073623711","84","73","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","68","The hospital indicated that the data submitted for this measure were based on a sample of cases","84","68","The hospital indicated that the data submitted for this measure were based on a sample of cases","81","68","The hospital indicated that the data submitted for this measure were based on a sample of cases","80","70","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","64","28","The hospital indicated that the data submitted for this measure were based on a sample of cases","73","11","The number of cases is too small to reliably tell how well a hospital is performing","72","46","","70","40","","100","106","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"530012","WYOMING MEDICAL CENTER","1233 EAST 2ND ST","","","CASPER","WY","82601","NATRONA","3075777201","100","430","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","423","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","436","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","355","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","356","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","111","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","302","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","160","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","273","","100","273","","99","473","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"530014","CHEYENNE REGIONAL MEDICAL CENTER","214 EAST 23RD STREET","","","CHEYENNE","WY","82001","LARAMIE","3076342273","99","488","","99","479","","99","490","","94","452","","95","452","","93","69","","87","182","","89","171","","96","297","","94","292","","100","708",""
"530015","ST JOHNS MEDICAL CENTER","625 EAST BROADWAY","","","JACKSON","WY","83001","TETON","3077333636","99","160","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","157","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","160","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","192","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","192","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","164","The hospital indicated that the data submitted for this measure were based on a sample of cases","86","28","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","81","","99","78","","100","222","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"530025","IVINSON MEMORIAL HOSPITAL","255 N 30TH","","","LARAMIE","WY","82072","ALBANY","3077422141","94","215","","96","211","","97","216","","92","223","","93","223","","Not Available","0","","96","211","","87","52","","94","70","","97","70","","100","303",""
"530032","EVANSTON REGIONAL HOSPITAL","190 ARROWHEAD DR","","","EVANSTON","WY","82930","UINTA","3077893636","100","65","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","65","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","65","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","56","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","56","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","12","The number of cases is too small to reliably tell how well a hospital is performing","100","15","The number of cases is too small to reliably tell how well a hospital is performing","85","13","The number of cases is too small to reliably tell how well a hospital is performing","94","18","The number of cases is too small to reliably tell how well a hospital is performing","100","82","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"530033","MOUNTAIN VIEW REGIONAL HOSPITAL","6550 EAST 2ND STREET","","","CASPER","WY","82605","NATRONA","3079958100","98","64","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","64","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","64","The hospital indicated that the data submitted for this measure were based on a sample of cases","87","83","The hospital indicated that the data submitted for this measure were based on a sample of cases","80","90","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","84","86","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","24","The number of cases is too small to reliably tell how well a hospital is performing","89","122","","98","109","","92","66","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"531302","MEMORIAL HOSPITAL OF CONVERSE COUNTY","111 SOUTH 5TH STREET","","","DOUGLAS","WY","82633","CONVERSE","3073582122","100","56","","100","56","","100","57","","97","60","","97","60","","Not Available","0","","93","56","","100","12","The number of cases is too small to reliably tell how well a hospital is performing","100","30","","100","30","","100","67",""
"531304","HOT SPRINGS COUNTY MEMORIAL HOSPITAL","150 EAST ARAPAHOE","","","THERMOPOLIS","WY","82443","HOT SPRINGS","3078643121","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","100","11","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"531305","PLATTE COUNTY MEMORIAL HOSPITAL","201 14TH STREET","","","WHEATLAND","WY","82201","PLATTE","3073223636","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","Not Available","0","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"531306","WASHAKIE MEDICAL CENTER","400 SOUTH 15TH STREET","","","WORLAND","WY","82401","WASHAKIE","3073473221","100","15","The number of cases is too small to reliably tell how well a hospital is performing","93","15","The number of cases is too small to reliably tell how well a hospital is performing","100","15","The number of cases is too small to reliably tell how well a hospital is performing","93","28","","96","28","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","29",""
"531307","COMMUNITY HOSPITAL","2000 CAMPBELL DRIVE","","","TORRINGTON","WY","82240","GOSHEN","3075324181","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","12","The number of cases is too small to reliably tell how well a hospital is performing","100","12","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"531312","WEST PARK HOSPITAL DISTRICT","707 SHERIDAN AVENUE","","","CODY","WY","82414","PARK","3075782488","95","242","","64","239","","100","242","","96","237","","97","237","","Not Available","0","","81","154","","93","59","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","296",""
"531313","STAR VALLEY MEDICAL CENTER","901 ADAMS STREET","","","AFTON","WY","83110","LINCOLN","3078855800","100","48","","100","48","","94","48","","94","51","","96","51","","Not Available","0","","93","41","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","90","20","The number of cases is too small to reliably tell how well a hospital is performing","100","20","The number of cases is too small to reliably tell how well a hospital is performing","100","65",""
