"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Attack Patients Given Aspirin at Discharge","Number of Patients 2","Footnote 2","Percent of Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","Number of Patients 6","Footnote 6","Percent of Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","Number of Patients 7","Footnote 7","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG","Number of Patients 8","Footnote 8","Average number of minutes before outpatients with chest pain or possible heart attack  were transferred to another hospital","Number of Patients 9","Footnote 9","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival","Number of Patients 11","Footnote 11","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival","Number of Patients 12","Footnote 12","Heart Attack Patients Given a Prescription for a Statin at Discharge","Number of Patients 13","Footnote 13","Median Time to Fibrinolysis","Number of Patients 10","Footnote 10"
"440176","INDIAN PATH MEDICAL CENTER","2000 BROOKSIDE DR","","","KINGSPORT","TN","37660","SULLIVAN","4234311941","97","94","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","8","16","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","15","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","97","90","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"440180","JELLICO COMMUNITY HOSPITAL","188 HOSPITAL LANE","","","JELLICO","TN","37762","CAMPBELL","4237847252","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","9","49","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","98","48","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"440181","BOLIVAR GENERAL HOSPITAL","650 NUCKOLLS ROAD","","","BOLIVAR","TN","38008","HARDEMAN","7316583100","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","6","142","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","98","113","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"440182","MCKENZIE REGIONAL HOSPITAL","161 HOSPITAL DRIVE","","","MC KENZIE","TN","38201","CARROLL","7313525344","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","4","103","","Not Available","0","","99","97","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"440183","ST FRANCIS HOSPITAL","5959 PARK AVE","","","MEMPHIS","TN","38119","SHELBY","9017651000","100","259","","Not Available","0","","98","40","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","99","250","","Not Available","Not Available","No data are available from the hospital for this measure"
"440184","FRANKLIN WOODS COMMUNITY HOSPITAL","401 PRINCETON RD","","","JOHNSON CITY","TN","37601","WASHINGTON","4238545600","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","5","147","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","94","145","","Not Available","0","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","0",""
"440185","SKYRIDGE MEDICAL CENTER","2305 CHAMBLISS AVE NW","","","CLEVELAND","TN","37311","BRADLEY","4233394132","96","54","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","4","81","","46","16","The number of cases is too small to reliably tell how well a hospital is performing","99","78","","Not Available","0","","98","52","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0",""
"440186","RIVERVIEW REGIONAL MEDICAL CENTER SOUTH","158 HOSPITAL DRIVE","","","CARTHAGE","TN","37030","SMITH","6157351560","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","6","64","","Not Available","0","","98","58","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"440187","LIVINGSTON REGIONAL HOSPITAL","315 OAK ST BOX 550","","","LIVINGSTON","TN","38570","OVERTON","9318235611","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","4","38","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","37","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"440189","REGIONAL HOSPITAL OF JACKSON","367 HOSPITAL BLVD","","","JACKSON","TN","38305","MADISON","7316612000","100","261","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","0","12","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","100","11","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","100","260","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"440192","WHITE COUNTY COMMUNITY HOSPITAL","401 SEWELL DR","","","SPARTA","TN","38583","WHITE","9317389211","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","9","37","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","89","37","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"440193","UNIVERSITY MEDICAL CENTER","1411 BADDOUR PARKWAY","","","LEBANON","TN","37087","WILSON","6154448262","100","30","","Not Available","0","","Not Available","0","","3","81","","40","18","The number of cases is too small to reliably tell how well a hospital is performing","100","78","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","97","30","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"440194","HENDERSONVILLE MEDICAL CENTER","355 NEW SHACKLE ISLAND RD","","","HENDERSONVILLE","TN","37075","SUMNER","6153381000","100","54","","Not Available","0","","100","16","The number of cases is too small to reliably tell how well a hospital is performing","5","31","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","30","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","100","53","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"440197","SOUTHERN HILLS MEDICAL CTR","391 WALLACE RD","","","NASHVILLE","TN","37211","DAVIDSON","6157814000","100","92","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","18","The number of cases is too small to reliably tell how well a hospital is performing","6","19","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","94","17","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","96","81","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"440200","STONES RIVER HOSPITAL & DEKALB COMMUNITY HOSPITAL","324 DOOLITTLE ROAD","","","WOODBURY","TN","37190","CANNON","6155634001","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","7","54","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","49","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"440218","THE CENTER FOR SPINAL SURGERY","2011 MURPHY AVENUE","","","NASHVILLE","TN","37203","DAVIDSON","6155158200","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"440227","STONECREST MEDICAL CENTER","200 STONECREST BOULEVARD","","","SMYRNA","TN","37167","RUTHERFORD","6157682000","95","22","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","6","83","","45","13","The number of cases is too small to reliably tell how well a hospital is performing","99","82","","Not Available","0","","95","22","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"440228","SAINT FRANCIS BARTLETT MEDICAL CENTER","2986 KATE BOND RD","","","BARTLETT","TN","38133","SHELBY","9018207050","100","11","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","8","60","","40","13","The number of cases is too small to reliably tell how well a hospital is performing","98","58","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"441305","MACON COUNTY GENERAL HOSPITAL","204 MEDICAL DRIVE","","","LAFAYETTE","TN","37083","MACON","6156662147","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","9","72","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","97","67","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"441307","RIVERVIEW REGIONAL MEDICAL CENTER","158 HOSPITAL DRIVE","","","CARTHAGE","TN","37030","SMITH","6157359815","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"441308","MEDICAL CENTER OF MANCHESTER","481 INTERSTATE DRIVE","","","MANCHESTER","TN","37355","COFFEE","9317286354","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","22","45","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","63","41","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"441309","MARSHALL MEDICAL CENTER","1080 NORTH ELLINGTON PARKWAY","","","LEWISBURG","TN","37091","MARSHALL","9313596276","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","16","37","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","89","35","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"441310","RHEA MEDICAL CENTER","9400 RHEA COUNTY HIGHWAY","","","DAYTON","TN","37321","RHEA","4237751121","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","7","64","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","96","57","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"441311","CENTENNIAL MEDICAL CENTER OF ASHLAND CITY","313 NORTH MAIN ST","","","ASHLAND CITY","TN","37015","CHEATHAM","6157923030","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","6","53","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","98","52","","Not Available","0","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","0",""
"441314","LAUDERDALE COMMUNITY HOSPITAL","326 ASBURY AVENUE","","","RIPLEY","TN","38063","LAUDERDALE","7312212200","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","Not Available","No data are available from the hospital for this measure","10","94","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","98","86","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"441315","COPPER BASIN MEDICAL CENTER","HIGHWAY 68","","","COPPERHILL","TN","37317","POLK","4234965511","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure"
"441317","SCOTT COUNTY HOSPITAL","18797 ALBERTA AVENUE","","","ONEIDA","TN","37841","SCOTT","4235698521","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","Not Available","No data are available from the hospital for this measure","10","79","","Not Available","0","","97","77","","Not Available","0","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","0",""
"450002","PROVIDENCE MEMORIAL HOSPITAL","2001 N OREGON ST","","","EL PASO","TX","79902","EL PASO","9155776011","100","108","","Not Available","0","","100","23","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","99","","Not Available","Not Available","No data are available from the hospital for this measure"
"450005","MEMORIAL HERMANN BAPTIST ORANGE HOSPITAL","608 STRICKLAND DRIVE","","","ORANGE","TX","77630","ORANGE","4098839361","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","12","59","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","93","55","","Not Available","0","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"450007","PETERSON REGIONAL MEDICAL CENTER","551 HILL COUNTRY DRIVE","","","KERRVILLE","TX","78028","KERR","8308964200","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","2","99","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","97","98","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"450010","UNITED REGIONAL HEALTH CARE SYSTEM","1600 11TH STREET","","","WICHITA FALLS","TX","76301","WICHITA","9407643055","96","311","","Not Available","0","","100","32","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","97","293","","Not Available","Not Available","No data are available from the hospital for this measure"
"450011","ST JOSEPH REGIONAL HEALTH CENTER","2801 FRANCISCAN DR","","","BRYAN","TX","77802","BRAZOS","9797763912","100","246","","Not Available","0","","97","29","","9","17","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","100","16","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","99","239","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"450015","PARKLAND HEALTH AND HOSPITAL SYSTEM","5201 HARRY HINES BLVD","","","DALLAS","TX","75235","DALLAS","2145908000","99","215","","Not Available","0","","91","43","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","99","219","","Not Available","Not Available","No data are available from the hospital for this measure"
"450018","UNIVERSITY OF TEXAS MEDICAL BRANCH GAL","301 UNIVERSITY BOULEVARD","","","GALVESTON","TX","77555","GALVESTON","4097721011","99","221","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","39","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","97","211","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure"
"450021","BAYLOR UNIVERSITY MEDICAL CENTER","3500 GASTON AVE","","","DALLAS","TX","75246","DALLAS","2148200111","99","129","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","4","538","","41","77","","98","531","","Not Available","0","","99","129","","Not Available","0",""
"450023","CITIZENS MEDICAL CENTER","2701 HOSPITAL DRIVE","","","VICTORIA","TX","77901","VICTORIA","3615725113","99","188","","Not Available","0","","100","29","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","99","175","","Not Available","Not Available","No data are available from the hospital for this measure"
"450024","UNIVERSITY MEDICAL CENTER OF EL PASO","4815 ALAMEDA AVE","","","EL PASO","TX","79905","EL PASO","9155217602","100","140","","Not Available","0","","95","38","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","137","","Not Available","Not Available","No data are available from the hospital for this measure"
"450028","VHS BROWNSVILLE HOSPITAL COMPANY, LLC","1040 W JEFFERSON ST","","","BROWNSVILLE","TX","78520","CAMERON","9565441400","99","118","","Not Available","0","","92","12","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","108","","Not Available","Not Available","No data are available from the hospital for this measure"
"450029","LAREDO MEDICAL CENTER","1700 EAST SAUNDERS","","","LAREDO","TX","78044","WEBB","9567965000","100","121","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","22","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","100","117","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure"
"450032","GOOD SHEPHERD MEDICAL CENTER MARSHALL","811 S WASHINGTON","","","MARSHALL","TX","75670","HARRISON","9039276712","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","6","141","","96","68","","99","133","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"450033","VHS HARLINGEN HOSPITAL COMPANY LLC","2101 PEASE ST","","","HARLINGEN","TX","78550","CAMERON","9563891100","99","207","","Not Available","0","","81","27","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","94","204","","Not Available","Not Available","No data are available from the hospital for this measure"
"450034","CHRISTUS HOSPITAL","2830 CALDER AVENUE","","","BEAUMONT","TX","77702","JEFFERSON","4098927171","98","331","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","47","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","96","322","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"450035","ST JOSEPH MEDICAL CENTER","1401 ST. JOSEPH PARKWAY","","","HOUSTON","TX","77002","HARRIS","7137571000","100","107","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","93","98","","Not Available","Not Available","No data are available from the hospital for this measure"
"450037","GOOD SHEPHERD MEDICAL CENTER","700 EAST MARSHALL AVENUE","","","LONGVIEW","TX","75601","GREGG","9033152000","100","424","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","62","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","97","410","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure"
"450039","JPS HEALTH NETWORK","1500 S MAIN ST","","","FORT WORTH","TX","76104","TARRANT","8179213431","100","262","","Not Available","0","","98","47","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","97","259","","Not Available","Not Available","No data are available from the hospital for this measure"
"450040","COVENANT MEDICAL CENTER","3615 19TH STREET","","","LUBBOCK","TX","79410","LUBBOCK","8067256000","98","523","","Not Available","0","","95","43","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","97","504","","Not Available","Not Available","No data are available from the hospital for this measure"
"450042","PROVIDENCE HEALTH CENTER","6901 MEDICAL PARKWAY","","","WACO","TX","76712","MCLENNAN","2547514000","97","343","","Not Available","0","","84","63","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","91","341","","Not Available","Not Available","No data are available from the hospital for this measure"
