"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Pneumonia Patients Whose Initial ER Blood Culture Was Performed Prior To Administration Of First Dose Of Antibiotics","Number of Patients 2","Footnote 2","Percent of Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Number of Patients 4","Footnote 4"
"360113","MERCY FRANCISCAN HOSPITAL WESTERN HILLS","3131 QUEEN CITY AVENUE","","","CINCINNATI","OH","45238","HAMILTON","5133895915","100","254","","99","161",""
"200001","ST JOSEPH HOSPITAL","360 BROADWAY","","","BANGOR","ME","04401","PENOBSCOT","2072621000","97","232","","98","181",""
"461308","SAN JUAN HOSPITAL","380 WEST 100 NORTH","","","MONTICELLO","UT","84535","SAN JUAN","4355872116","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"340109","ALBEMARLE HOSPITAL AUTHORITY","1144 N ROAD ST","","","ELIZABETH CITY","NC","27909","PASQUOTANK","2523350531","97","135","","95","63",""
"390048","LEWISTOWN HOSPITAL","400 HIGHLAND AVENUE","","","LEWISTOWN","PA","17044","MIFFLIN","7172485411","99","233","","96","146",""
"220065","NOBLE HOSPITAL","115 WEST SILVER STREET","","","WESTFIELD","MA","01085","HAMPDEN","4135682811","98","131","","95","92",""
"220074","SOUTHCOAST HOSPITAL GROUP, INC","363 HIGHLAND AVENUE","","","FALL RIVER","MA","02720","BRISTOL","5086793131","96","937","","95","765",""
"050717","LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR","7601 EAST IMPERIAL HIGHWAY","","","DOWNEY","CA","90242","ORANGE","5624017022","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"371302","WATONGA MUNICIPAL HOSPITAL","500 NORTH CLARENCE NASH BOULEVARD","","","WATONGA","OK","73772","BLAINE","5806237211","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","16","The number of cases is too small to reliably tell how well a hospital is performing"
"201301","CHARLES A DEAN MEMORIAL HOSPITAL","PRITHAM AVENUE PO BOX 1129","","","GREENVILLE","ME","04441","PISCATAQUIS","2076955200","Not Available","0","","Not Available","0",""
"100069","FLORIDA HOSPITAL CARROLLWOOD","7171 NORTH DALE MABRY","","","TAMPA","FL","33614","HILLSBOROUGH","8139322222","96","117","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","68","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"420038","LAURENS COUNTY HEALTHCARE SYSTEM","US HWY 76 PO DRAWER 976","","","CLINTON","SC","29325","LAURENS","8648339100","99","111","","88","59",""
"050618","BEAR VALLEY COMMUNITY HOSPITAL","41870 GARSTIN DR","","","BIG BEAR LAKE","CA","92315","SAN BERNARDINO","9098666501","85","13","The number of cases is too small to reliably tell how well a hospital is performing","93","14","The number of cases is too small to reliably tell how well a hospital is performing"
"370030","INTEGRIS BLACKWELL REGIONAL HOSPITAL","710 SOUTH 13TH STREET","","","BLACKWELL","OK","74631","KAY","5803632311","100","53","","100","49",""
"170020","HUTCHINSON REGIONAL MEDICAL CENTER INC","1701 E 23RD AVENUE","","","HUTCHINSON","KS","67502","RENO","6206652001","100","159","","96","124",""
"520038","AURORA MED CENTER-WASHINGTON COUNTY","1032 E SUMNER ST","","","HARTFORD","WI","53027","WASHINGTON","2626732300","99","71","","100","46",""
"500027","SWEDISH MEDICAL CENTER","747 BROADWAY","","","SEATTLE","WA","98122","KING","2063866000","97","303","","97","148",""
"390183","ST LUKE'S MINERS MEMORIAL HOSPITAL","360 W RUDDLE STREET","","","COALDALE","PA","18218","SCHUYLKILL","5706452131","98","50","","97","32",""
"050736","MONTEREY PARK HOSPITAL","900 S ATLANTIC BLVD","","","MONTEREY PARK","CA","91754","LOS ANGELES","6265709000","93","114","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","53","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"040080","HARRIS HOSPITAL","1205 MCLAIN STREET","","","NEWPORT","AR","72112","JACKSON","8705238911","99","102","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","43","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"050481","WEST HILLS HOSPITAL & MEDICAL CENTER","7300 MEDICAL CENTER DR","","","WEST HILLS","CA","91307","LOS ANGELES","8186764100","100","173","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","70","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"110086","WASHINGTON COUNTY REGIONAL MEDICAL CENTER","610 SPARTA ROAD","","","SANDERSVILLE","GA","31082","WASHINGTON","4782402100","92","49","","93","43",""
"320061","GALLUP INDIAN MEDICAL CENTER","516 E NIZHONI BLVD","","","GALLUP","NM","87301","MCKINLEY","5057221000","81","84","The hospital indicated that the data submitted for this measure were based on a sample of cases","78","67","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"230105","MCLAREN - NORTHERN MICHIGAN","416 CONNABLE AVE","","","PETOSKEY","MI","49770","EMMET","2314874000","96","138","","98","86",""
"511306","ROANE GENERAL HOSPITAL","200 HOSPITAL DRIVE","","","SPENCER","WV","25276","ROANE","3049274444","96","27","","88","25",""
"180018","ST CLAIRE REGIONAL MEDICAL CENTER","222 MEDICAL CIRCLE","","","MOREHEAD","KY","40351","ROWAN","6067836500","98","211","","95","110",""
"050138","KAISER FOUNDATION HOSPITAL - LOS ANGELES","4867 SUNSET BLVD","","","LOS ANGELES","CA","90027","LOS ANGELES","3237834011","99","141","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","48","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"050283","VALLEYCARE MEDICAL CENTER","5555 WEST LAS POSITAS BOULEVARD","","","PLEASANTON","CA","94588","ALAMEDA","9254477000","100","221","","94","158",""
"100026","BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM","615 N BONITA AVE","","","PANAMA CITY","FL","32401","BAY","8507691511","95","206","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","114","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"230031","ST JOSEPH MERCY PORT HURON","2601 ELECTRIC AVENUE","","","PORT HURON","MI","48060","SAINT CLAIR","8109851510","100","94","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","71","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"390185","HAZLETON GENERAL HOSPITAL","700 EAST BROAD STREET","","","HAZLETON","PA","18201","LUZERNE","5705014000","100","203","","99","139",""
"360048","UNIVERSITY OF TOLEDO MEDICAL CENTER","3000 ARLINGTON AVENUE","","","TOLEDO","OH","43699","LUCAS","4193833407","82","99","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","49","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"220135","FALMOUTH HOSPITAL","67 & 100 TER HEUN DRIVE","","","FALMOUTH","MA","02540","BARNSTABLE","5085485300","98","280","","99","152",""
"080001","CHRISTIANA CARE HEALTH SERVICES, INC.","4755 OGLETOWN-STANTON ROAD","","","NEWARK","DE","19718","NEW CASTLE","3027331000","89","429","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","341","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"171300","GRISELL MEMORIAL HOSPITAL","210 SOUTH VERMONT AVENUE","","","RANSOM","KS","67572","NESS","7857312231","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"110229","PIEDMONT NEWNAN HOSPITAL, INC","745 POPLAR ROAD","","","NEWNAN","GA","30265","COWETA","7703044081","97","273","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","126","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"520083","ST MARY'S HOSPITAL","700 SOUTH PARK ST","","","MADISON","WI","53715","DANE","6082516100","98","284","","99","140",""
"390178","UPMC HORIZON","110 NORTH MAIN STREET","","","GREENVILLE","PA","16125","MERCER","7245882100","100","231","","98","186",""
"140300","PROVIDENT HOSPITAL OF CHICAGO","500 E 51ST ST","","","CHICAGO","IL","60615","COOK","3125722000","87","61","","95","56",""
"390162","EASTON HOSPITAL","250 SOUTH 21ST STREET","","","EASTON","PA","18042","NORTHAMPTON","6102504076","99","206","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","124","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"180079","HARRISON MEMORIAL HOSPITAL","1210 KY HWY 36 E","","","CYNTHIANA","KY","41031","HARRISON","8592342300","93","143","","96","121",""
"280032","MARY LANNING MEMORIAL HOSPITAL","715 N ST JOSEPH AVE","","","HASTINGS","NE","68901","ADAMS","4024634521","99","107","","97","90",""
"100071","BROOKSVILLE REGIONAL HOSPITAL","17240 CORTEZ BLVD","","","BROOKSVILLE","FL","34601","HERNANDO","3527965111","100","258","","99","160",""
"500030","PEACEHEALTH ST JOSEPH MEDICAL CENTER","2901 SQUALICUM PARKWAY","","","BELLINGHAM","WA","98225","WHATCOM","3607345400","93","392","","97","249",""
"420015","BAPTIST EASLEY HOSPITAL","200 FLEETWOOD DRIVE","","","EASLEY","SC","29640","PICKENS","8644427200","100","273","","99","159",""
"340001","CAROLINAS MEDICAL CENTER-NORTHEAST","920 CHURCH ST N","","","CONCORD","NC","28025","CABARRUS","7047833000","97","483","","98","284",""
"161368","FLOYD VALLEY HOSPITAL","714 LINCOLN ST NE","","","LE MARS","IA","51031","PLYMOUTH","7125467871","98","45","","97","30",""
"511309","WAR MEMORIAL HOSPITAL INC","1 HEALTHY WAY","","","BERKELEY SPRINGS","WV","25411","MORGAN","3042581234","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"450021","BAYLOR UNIVERSITY MEDICAL CENTER","3500 GASTON AVE","","","DALLAS","TX","75246","DALLAS","2148200111","99","149","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","76","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"371325","CORDELL MEMORIAL HOSPITAL","1220 NORTH GLENN ENGLISH STREET","","","CORDELL","OK","73632","WASHITA","5808323339","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"400007","RYDER MEMORIAL HOSPITAL INC","355 AVE FONT MARTELO","","","HUMACAO","PR","00791","HUMACAO","7878520768","15","48","","41","81",""
"450128","KNAPP MEDICAL CENTER","1401 EAST EIGHT STREET","","","WESLACO","TX","78596","HIDALGO","9569688567","91","148","","93","106",""
"080003","ST FRANCIS HOSPITAL","7TH AND CLAYTON STS","","","WILMINGTON","DE","19805","NEW CASTLE","3024214100","100","136","","96","81",""
"271340","MARCUS DALY MEMORIAL HOSPITAL - CAH","1200 WESTWOOD DR","","","HAMILTON","MT","59840","RAVALLI","4063754408","86","57","","100","37",""
"330053","MEDINA MEMORIAL HOSPITAL","200 OHIO STREET","","","MEDINA","NY","14103","ORLEANS","5857988111","99","100","","90","52",""
"161370","LORING HOSPITAL","211 HIGHLAND AVENUE PO BOX 217","","","SAC CITY","IA","50583","SAC","7126627105","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"050766","SUTTER SURGICAL HOSPITAL - NORTH VALLEY","455 PLUMAS BLVD","","","YUBA CITY","CA","95991","SUTTER","5307495700","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"420016","BARNWELL COUNTY HOSPITAL","PO BOX 588  811  REYNOLDS ROAD","","","BARNWELL","SC","29812","BARNWELL","8035414161","73","45","The hospital indicated that the data submitted for this measure were based on a sample of cases","74","35","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"390091","UPMC NORTHWEST","100 FAIRFIELD DRIVE","","","SENECA","PA","16346","VENANGO","8146767600","99","170","","95","113",""
"160083","MERCY MEDICAL CENTER-DES MOINES","1111 6TH AVE","","","DES MOINES","IA","50314","POLK","5152473121","99","456","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","208","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"420082","AIKEN REGIONAL MEDICAL CENTER","302 UNIVERSITY PARKWAY","","","AIKEN","SC","29801","AIKEN","8036415900","99","170","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","81","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"230236","METRO HEALTH HOSPITAL","5900 BYRON CENTER AVENUE, SW","","","WYOMING","MI","49519","KENT","6162527200","99","214","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","95","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"390113","MEADVILLE MEDICAL CENTER","751 LIBERTY STREET","","","MEADVILLE","PA","16335","CRAWFORD","8143335000","99","117","","95","82",""
"330059","MONTEFIORE MEDICAL CENTER","111 EAST 210TH STREET","","","BRONX","NY","10467","BRONX","7189204321","88","290","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","174","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330011","OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC","169 RIVERSIDE DRIVE","","","BINGHAMTON","NY","13905","BROOME","6077985111","99","470","","96","226",""
"230024","SINAI-GRACE HOSPITAL","6071 W OUTER DRIVE","","","DETROIT","MI","48235","WAYNE","3139663300","98","395","","96","149",""
"061327","SOUTHWEST MEMORIAL HOSPITAL","1311 N MILDRED RD","","","CORTEZ","CO","81321","MONTEZUMA","9705656666","100","44","","100","33",""
"251325","COVINGTON COUNTY HOSPITAL CAH","701 SOUTH HOLLY AVENUE","","","COLLINS","MS","39428","COVINGTON","6017656711","80","15","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"160024","IOWA LUTHERAN HOSPITAL","700 EAST UNIVERSITY AVENUE","","","DES MOINES","IA","50316","POLK","5152635612","97","101","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","100","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"393303","CHILDREN'S HOSPITAL OF PHILADELPHIA","34TH ST & CIVIC CENTER BLVD","","","PHILADELPHIA","PA","19104","PHILADELPHIA","2155903745","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"45090F","SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEAL","7400 MERTON MINTER BLVD.","","","SAN ANTONIO                   ","TX","78229","BEXAR","2106175300","98","203","","98","83",""
"450749","EAST TEXAS MEDICAL CENTER TRINITY","317 PROSPECT DR/PO BOX 3169","","","TRINITY","TX","75862","TRINITY","9365943541","79","34","","88","16","The number of cases is too small to reliably tell how well a hospital is performing"
"041316","SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER","611 WEST LEE AVENUE","","","OSCEOLA","AR","72370","MISSISSIPPI","8705637000","100","44","","67","27",""
"050045","EL CENTRO REGIONAL MEDICAL CENTER","1415 ROSS AVENUE","","","EL CENTRO","CA","92243","IMPERIAL","7603397100","90","181","","84","125",""
"051310","FRANK R HOWARD MEMORIAL HOSPITAL","1 MADRONE STREET","","","WILLITS","CA","95490","MENDOCINO","7074596801","91","34","","100","24","The number of cases is too small to reliably tell how well a hospital is performing"
"340017","MARGARET R PARDEE MEMORIAL HOSPITAL","800 N JUSTICE ST","","","HENDERSONVILLE","NC","28791","HENDERSON","8286961000","99","193","","96","140",""
"450280","BAYLOR MEDICAL CENTER AT GARLAND","2300 MARIE CURIE DRIVE","","","GARLAND","TX","75042","DALLAS","9724875000","99","296","","98","173",""
"330073","UNITED MEMORIAL MEDICAL CENTER","127 NORTH STREET","","","BATAVIA","NY","14020","GENESEE","5853436030","95","190","","93","95",""
"361325","GALION COMMUNITY HOSPITAL","269 PORTLAND WAY SOUTH","","","GALION","OH","44833","CRAWFORD","4194684841","91","57","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","49","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"171378","KINGMAN COMMUNITY HOSPITAL","750 W AVE D","","","KINGMAN","KS","67068","KINGMAN","6205323147","89","19","The number of cases is too small to reliably tell how well a hospital is performing","96","26",""
"060103","CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL","100 HEALTH PARK DRIVE","","","LOUISVILLE","CO","80027","BOULDER","3036731000","97","59","","96","26",""
"050030","OROVILLE HOSPITAL","2767 OLIVE HIGHWAY","","","OROVILLE","CA","95966","BUTTE","5305338500","95","256","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","135","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"241379","PRAIRIE RIDGE HOSPITAL AND HEALTH SERVICES","930 FIRST STREET NORTHEAST","","","ELBOW LAKE","MN","56531","GRANT","2186854461","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"141348","RED BUD REGIONAL HOSPITAL","325 SPRING STREET","","","RED BUD","IL","62278","RANDOLPH","6182823831","100","57","","97","33",""
"450610","MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER","921 GESSNER","","","HOUSTON","TX","77024","HARRIS","7132423000","100","228","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","112","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"420019","CHESTER REGIONAL MEDICAL CENTER","1 MEDICAL PARK DRIVE","","","CHESTER","SC","29706","CHESTER","8035813151","100","45","","97","32",""
"330090","ARNOT OGDEN MEDICAL CENTER","600 ROE AVENUE","","","ELMIRA","NY","14905","CHEMUNG","6077374100","97","251","","95","147",""
"490075","DANVILLE REGIONAL MEDICAL CENTER","142 SOUTH MAIN STREET","","","DANVILLE","VA","24541","DANVILLE CITY","4347992100","92","104","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","68","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"220086","BETH ISRAEL DEACONESS MEDICAL CENTER","330 BROOKLINE AVENUE","","","BOSTON","MA","02215","SUFFOLK","6176677000","99","281","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","115","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"260141","UNIVERSITY OF MISSOURI HEALTH CARE","ONE HOSPITAL DRIVE, ROOM CE121, DC031,00","","","COLUMBIA","MO","65201","BOONE","5738824141","97","152","","85","66",""
"370225","SUMMIT MEDICAL CENTER","1800 SOUTH RENAISSANCE BOULEVARD","","","EDMOND","OK","73034","OKLAHOMA","4053592400","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"291302","WILLIAM BEE RIRIE HOSPITAL","1500 AVENUE H","","","ELY","NV","89301","WHITE PINE","7752893001","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"36001F","CLEVELAND-WADE PARK VA MEDICAL CENTER","10701 EAST BLVD","","","CLEVELAND                     ","OH","44106","CUYAHOGA","2167913800","97","75","","95","41",""
"131323","ST LUKES WOOD RIVER MEDICAL CENTER","100 HOSPITAL DRIVE","","","KETCHUM","ID","83340","BLAINE","2087278413","89","18","The number of cases is too small to reliably tell how well a hospital is performing","94","18","The number of cases is too small to reliably tell how well a hospital is performing"
"161376","CASS COUNTY MEMORIAL HOSPITAL","1501 EAST TENTH STREET","","","ATLANTIC","IA","50022","CASS","7122433250","100","28","","62","24","The number of cases is too small to reliably tell how well a hospital is performing"
"360010","UNION HOSPITAL","659 BOULEVARD","","","DOVER","OH","44622","TUSCARAWAS","3303433311","99","290","","98","202",""
"510029","THOMAS MEMORIAL HOSPITAL","4605 MACCORKLE AVE SW","","","SOUTH CHARLESTON","WV","25309","KANAWHA","3047663600","98","387","","95","227",""
"231315","BORGESS-LEE MEMORIAL HOSPITAL","420 W HIGH STREET","","","DOWAGIAC","MI","49047","CASS","2697828681","100","49","","90","41",""
"330141","BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER","101 HOSPITAL ROAD","","","PATCHOGUE","NY","11772","SUFFOLK","6316547100","94","537","","93","255",""
"050248","NATIVIDAD MEDICAL CENTER","1441 CONSTITUTION BOULEVARD","","","SALINAS","CA","93906","MONTEREY","8317554195","86","111","","96","70",""
"290047","SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER","9300 WEST SUNSET RD","","","LAS VEGAS","NV","89148","CLARK","7028802100","100","119","","96","28",""
"340055","VALDESE GENERAL HOSPITAL INC","720 MALCOLM BLVD","","","VALDESE","NC","28690","BURKE","8288742251","100","118","","96","53",""
"171372","SCOTT COUNTY HOSPITAL","201 ALBERT AVENUE","","","SCOTT CITY","KS","67871","SCOTT","6208725811","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"240210","HEALTHEAST ST JOHN'S HOSPITAL","1575 BEAM AVENUE","","","MAPLEWOOD","MN","55109","RAMSEY","6512327000","98","157","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","98","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"141349","SPARTA COMMUNITY HOSPITAL","818 E BROADWAY","","","SPARTA","IL","62286","RANDOLPH","6184432177","97","35","","81","37",""
"230176","OAKWOOD SOUTHSHORE MEDICAL CENTER","5450 FORT STREET","","","TRENTON","MI","48183","WAYNE","7346713800","99","144","","94","151",""
"140124","JOHN H STROGER JR HOSPITAL","1901 W HARRISON ST","","","CHICAGO","IL","60612","COOK","3128646000","94","142","The hospital indicated that the data submitted for this measure were based on a sample of cases","69","102","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"430093","SAME DAY SURGERY CENTER LLC","651 CATHEDRAL DRIVE","","","RAPID CITY","SD","57701","PENNINGTON","6057559900","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"360239","KETTERING MEDICAL CENTER - SYCAMORE","4000 MIAMISBURG-CENTERVILLE ROAD","","","MIAMISBURG","OH","45342","MONTGOMERY","9373848776","97","254","","97","124",""
"460014","MOUNTAIN WEST MEDICAL CENTER","2055 NORTH MAIN STREET","","","TOOELE","UT","84074","TOOELE","4358433700","99","71","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","58","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100053","HIALEAH HOSPITAL","651 E 25TH ST","","","HIALEAH","FL","33013","MIAMI-DADE","3056936100","98","371","","98","255",""
"260219","PROGRESS WEST HEALTHCARE CENTER","2 PROGRESS POINT PKWY","","","O FALLON","MO","63368","SAINT CHARLES","6363441000","99","108","","99","99",""
"201302","ST ANDREWS HOSPITAL (LINCOLN COUNTY HEALTHCARE)","6 ST ANDREWS LANE  - PO BOX 417","","","BOOTHBAY HARBOR","ME","04538","LINCOLN","2076332121","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"220110","BRIGHAM AND WOMEN'S HOSPITAL","75 FRANCIS STREET","","","BOSTON","MA","02115","SUFFOLK","6177325500","95","60","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","29","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"230132","HURLEY MEDICAL CENTER","ONE HURLEY PLAZA","","","FLINT","MI","48503","GENESEE","8102579000","94","100","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","82","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"210015","MEDSTAR FRANKLIN SQUARE MEDICAL CENTER","9000 FRANKLIN SQUARE DR","","","BALTIMORE","MD","21237","BALTIMORE","4437777850","93","457","","96","359",""
"271343","PROVIDENCE ST JOSEPH MEDICAL CENTER","6 13TH AVE E","","","POLSON","MT","59860","LAKE","4068835377","100","12","The number of cases is too small to reliably tell how well a hospital is performing","88","16","The number of cases is too small to reliably tell how well a hospital is performing"
"140292","ADVENTIST GLENOAKS","701 WINTHROP AVENUE","","","GLENDALE HEIGHTS","IL","60139","DUPAGE","6305456160","99","88","","95","21","The number of cases is too small to reliably tell how well a hospital is performing"
"330027","NASSAU UNIVERSITY MEDICAL CENTER","2201 HEMPSTEAD TURNPIKE","","","EAST MEADOW","NY","11554","NASSAU","5165720123","84","135","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","61","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"521319","EDGERTON HOSPITAL AND HEALTH SERVICES","11101 N SHERMAN ROAD","","","EDGERTON","WI","53534","ROCK","6088843441","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"501339","WHIDBEY GENERAL HOSPITAL","101 NORTH MAIN STREET","","","COUPEVILLE","WA","98239","ISLAND","3606785151","95","59","","97","33",""
"260001","MERCY HOSPITAL JOPLIN","2817 ST JOHNS BLVD","","","JOPLIN","MO","64801","JASPER","4177812727","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"330151","ST JAMES MERCY HOSPITAL","411 CANISTEO STREET","","","HORNELL","NY","14843","STEUBEN","6073248000","100","116","","94","50",""
"100189","NORTHWEST MEDICAL CENTER","2801 N STATE RD 7","","","MARGATE","FL","33063","BROWARD","9549740400","98","156","","98","85",""
"360152","DOCTORS HOSPITAL","5100 WEST  BROAD STREET","","","COLUMBUS","OH","43228","FRANKLIN","6145441000","100","203","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","167","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"230005","EMMA L BIXBY MEDICAL CENTER","818 RIVERSIDE AVENUE","","","ADRIAN","MI","49221","LENAWEE","5172650900","99","96","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","57","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"150113","COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY","1515 N MADISON AVE","","","ANDERSON","IN","46011","MADISON","7652984242","97","129","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","73","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450369","CHILDRESS REGIONAL MEDICAL CENTER","HWY 83 NORTH","","","CHILDRESS","TX","79201","CHILDRESS","9409376371","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","31",""
"330046","ST LUKE'S ROOSEVELT HOSPITAL","1111 AMSTERDAM AVENUE","","","NEW YORK","NY","10025","NEW YORK","2125234000","97","184","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","82","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"53005F","SHERIDAN VA MEDICAL CENTER","1898 FORT ROAD","","","SHERIDAN                      ","WY","82801","SHERIDAN","3076721675","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"140002","ALTON MEMORIAL HOSPITAL","ONE MEMORIAL DRIVE","","","ALTON","IL","62002","MADISON","6184637300","99","342","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","173","The hospital indicated that the data submitted for this measure were based on a sample of cases"
